epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.1691,1.27834,7.12243,0.01091,0.00286,0.85714,0.19724,0.12377,1.0376,9.94708,0.01222,6e-05,6e-05,6e-05
2,9.9026,1.17392,8.09569,0.01168,0.00286,0.85714,0.17557,0.12273,0.79156,9.7423,0.0093,0.00013769,0.00013769,0.00013769
3,10.6918,0.88962,6.29189,0.008,0.00333,1,0.45196,0.33878,0.80545,9.61114,0.01008,0.00021274,0.00021274,0.00021274
4,11.459,0.81716,6.5538,0.00779,0.00333,1,0.82288,0.63896,0.77315,9.30428,0.00851,0.00028515,0.00028515,0.00028515
5,12.1877,0.81372,6.59664,0.00868,0.00333,1,0.57579,0.41712,0.93492,9.45715,0.01123,0.00035492,0.00035492,0.00035492
6,12.9157,0.83214,5.16075,0.00747,0.00333,1,0.64952,0.46997,0.75409,9.17491,0.00932,0.00042205,0.00042205,0.00042205
7,13.6436,0.91105,5.50167,0.00841,0.00333,1,0.76039,0.58429,0.66743,8.90227,0.00832,0.00048654,0.00048654,0.00048654
8,14.3908,0.88972,5.23336,0.0076,0.00333,1,0.79317,0.58851,0.85874,8.92745,0.01021,0.00054839,0.00054839,0.00054839
9,15.1039,0.88913,4.98886,0.0087,0.00333,1,0.77428,0.53631,1.10702,9.13789,0.01395,0.0006076,0.0006076,0.0006076
10,15.824,0.86753,4.91332,0.00841,0.00333,1,0.71837,0.5047,0.8334,8.79727,0.01154,0.00066417,0.00066417,0.00066417
11,16.5606,1.07805,5.39549,0.01025,0.00333,1,0.50826,0.36879,0.81511,8.78717,0.00995,0.0007181,0.0007181,0.0007181
12,17.2746,0.93006,4.99339,0.00776,0.00333,1,0.61463,0.40481,0.81043,8.85014,0.01003,0.00076939,0.00076939,0.00076939
13,18.0074,0.94438,4.6169,0.00845,0.00333,1,0.7725,0.58857,0.89479,8.59283,0.01043,0.00081804,0.00081804,0.00081804
14,18.7251,0.96541,4.55014,0.00892,0.00333,1,0.59333,0.50303,0.80744,8.35879,0.00887,0.00086405,0.00086405,0.00086405
15,19.469,0.92106,4.86295,0.00875,0.5349,0.33556,0.78788,0.62163,0.83628,8.12271,0.01114,0.00090742,0.00090742,0.00090742
16,20.1707,0.9649,3.78004,0.00836,0.54118,0.34454,0.77457,0.62433,0.89992,8.04586,0.01206,0.00094815,0.00094815,0.00094815
17,20.8806,0.93838,4.23882,0.00865,0.64237,0.51937,0.77032,0.56814,0.99239,8.0317,0.01397,0.00098624,0.00098624,0.00098624
18,21.5964,1.00819,4.19214,0.00999,0.00333,1,0.84227,0.62962,0.9963,7.80963,0.01319,0.00102169,0.00102169,0.00102169
19,22.3046,0.96738,4.12868,0.00914,0.00546,1,0.85,0.65525,0.89621,7.63996,0.01087,0.0010545,0.0010545,0.0010545
20,23.0199,0.97636,3.70728,0.00883,0.89982,0.57143,0.81733,0.61601,0.6909,7.43804,0.00972,0.00108467,0.00108467,0.00108467
21,23.7292,0.90935,3.44838,0.00777,1,0.5255,0.911,0.71124,0.89514,6.83997,0.01169,0.0011122,0.0011122,0.0011122
