epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1824,1.81598,8.33599,0.00902,0.00111,0.33333,0.1144,0.05474,1.45377,10.7426,0.00983,8e-05,8e-05,8e-05
2,12.0471,1.60271,9.53939,0.00951,0.00148,0.44444,0.2796,0.23265,1.23065,10.3498,0.00682,0.00017703,0.00017703,0.00017703
3,12.9476,1.35896,7.47298,0.00518,0.00148,0.44444,0.32767,0.26571,1.217,10.3127,0.00626,0.00027076,0.00027076,0.00027076
4,13.7912,1.22991,7.51586,0.00681,0.00148,0.44444,0.34722,0.326,1.07942,10.1667,0.00514,0.00036119,0.00036119,0.00036119
5,14.6831,1.32596,6.29848,0.00534,0.00148,0.44444,0.34573,0.27879,1.1797,10.1649,0.00641,0.00044832,0.00044832,0.00044832
6,15.5247,1.16732,6.84672,0.00658,0.00148,0.44444,0.34794,0.28212,1.10273,10.1484,0.00627,0.00053215,0.00053215,0.00053215
7,16.3856,1.29938,6.0529,0.00668,0.00148,0.44444,0.2963,0.26647,0.82948,9.64292,0.00559,0.00061268,0.00061268,0.00061268
8,17.2068,1.32463,5.40562,0.0065,0.00148,0.44444,0.28634,0.23899,0.81947,9.66735,0.00515,0.00068991,0.00068991,0.00068991
9,18.0701,1.3645,6.64944,0.00679,0.00111,0.33333,0.27214,0.16419,1.22591,10.1367,0.00796,0.00076384,0.00076384,0.00076384
10,18.9071,1.33464,5.6388,0.00709,0.00111,0.33333,0.225,0.16196,1.24508,9.86343,0.00756,0.00083447,0.00083447,0.00083447
11,19.7308,1.29853,4.92036,0.006,0.00148,0.44444,0.28,0.22926,1.21597,9.49557,0.00639,0.0009018,0.0009018,0.0009018
12,20.5723,1.36233,5.48541,0.00845,0.00185,0.55556,0.28047,0.23956,1.25853,9.15153,0.00738,0.00096583,0.00096583,0.00096583
13,21.3827,1.37511,4.91876,0.00616,0.34655,0.33333,0.30802,0.25501,1.24297,8.97118,0.00711,0.00102656,0.00102656,0.00102656
14,22.2367,1.33578,5.00984,0.00637,0.63162,0.19886,0.29919,0.27381,1.13321,8.66243,0.00586,0.00108399,0.00108399,0.00108399
15,23.0626,1.20768,5.13577,0.00735,0.52455,0.44444,0.4424,0.36197,1.21206,8.32286,0.00614,0.00113812,0.00113812,0.00113812
