epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.7137,1.90363,4.43162,0.01135,0.00031,0.025,0.0002,0.0001,1.46393,4.4804,0.01041,2.5e-05,2.5e-05,2.5e-05
2,4.05997,1.74411,4.33039,0.00953,0.00026,0.025,0.00058,0.00032,1.30534,4.45464,0.00902,6.14687e-05,6.14687e-05,6.14687e-05
3,5.3498,1.77306,4.40675,0.00926,0.00024,0.025,0.00339,0.00206,1.15723,4.43426,0.00796,9.67e-05,9.67e-05,9.67e-05
4,6.67824,1.68936,4.2422,0.00742,0.00388,0.07083,0.00446,0.00314,1.03678,4.41993,0.0071,0.000130694,0.000130694,0.000130694
5,8.00113,1.48392,4.12751,0.00671,0.01058,0.08869,0.02535,0.02011,1.00928,4.43436,0.00699,0.00016345,0.00016345,0.00016345
6,9.27791,1.2322,4.02086,0.0075,0.0083,0.08869,0.02632,0.01835,1.02951,4.40725,0.00723,0.000194969,0.000194969,0.000194969
7,10.5645,1.43319,4.01803,0.00709,0.00774,0.13036,0.03115,0.02025,1.05588,4.35781,0.00756,0.00022525,0.00022525,0.00022525
8,11.855,1.26172,3.83343,0.00693,0.0081,0.18036,0.03574,0.02248,1.09122,4.32848,0.00797,0.000254294,0.000254294,0.000254294
9,13.1474,1.28924,3.90202,0.00691,0.01772,0.4256,0.0772,0.04735,1.11229,4.21495,0.00811,0.0002821,0.0002821,0.0002821
10,14.4369,1.2976,3.73175,0.00682,0.02581,0.57857,0.13588,0.08757,1.13215,4.10007,0.00825,0.000308669,0.000308669,0.000308669
11,15.7386,1.38157,3.52329,0.00633,0.02175,0.67143,0.19918,0.11959,1.15609,3.91635,0.00833,0.000334,0.000334,0.000334
12,17.0293,1.43278,3.41728,0.00765,0.02598,0.79464,0.21494,0.12954,1.16567,3.83536,0.00833,0.000358094,0.000358094,0.000358094
13,18.3213,1.34919,3.25579,0.00697,0.03655,0.91667,0.26683,0.1516,1.20038,3.77631,0.00848,0.00038095,0.00038095,0.00038095
14,19.6257,1.33146,3.23271,0.00678,0.03827,0.9375,0.37882,0.20947,1.16591,3.77752,0.00818,0.000402569,0.000402569,0.000402569
15,20.9148,1.41036,3.09343,0.00653,0.03666,0.97917,0.39976,0.23698,1.07471,3.62877,0.00749,0.00042295,0.00042295,0.00042295
16,22.2146,1.31519,2.9821,0.00687,0.03666,1,0.43321,0.26437,1.01644,3.56828,0.00701,0.000442094,0.000442094,0.000442094
17,23.5081,1.30307,3.52053,0.00854,0.03323,1,0.47946,0.30479,1.09586,3.43007,0.00761,0.00046,0.00046,0.00046
18,24.8249,1.4369,2.93491,0.00696,0.03167,1,0.51039,0.32078,1.12086,3.40126,0.00778,0.000476669,0.000476669,0.000476669
19,26.1579,1.49096,2.69078,0.00673,0.03049,0.975,0.51604,0.3265,1.13034,3.33912,0.00793,0.0004921,0.0004921,0.0004921
20,27.4503,1.44874,2.60236,0.00669,0.58066,0.52225,0.538,0.32257,1.1259,3.28611,0.00783,0.000506294,0.000506294,0.000506294
21,28.7349,1.56403,2.6397,0.00641,0.89799,0.10714,0.54862,0.33297,1.09462,3.23627,0.00767,0.00051925,0.00051925,0.00051925
22,30.0196,1.28442,2.65198,0.00696,0.86677,0.10714,0.57194,0.34576,1.14604,3.11306,0.00807,0.000530969,0.000530969,0.000530969
23,31.3303,1.48785,2.41364,0.00607,0.87281,0.17262,0.5814,0.33347,1.15332,3.11133,0.00818,0.00054145,0.00054145,0.00054145
24,32.6291,1.34858,2.49168,0.00737,0.8792,0.25113,0.60286,0.34112,1.20159,3.10886,0.0085,0.000550694,0.000550694,0.000550694
25,33.8981,1.44625,2.6672,0.00822,0.6597,0.25805,0.58597,0.35229,1.24915,2.97633,0.00909,0.0005587,0.0005587,0.0005587
26,35.1831,1.44523,2.47062,0.00669,0.5992,0.24072,0.61561,0.39907,1.15534,2.92152,0.00831,0.000565469,0.000565469,0.000565469
27,36.5262,1.45452,2.3332,0.00639,0.67314,0.23096,0.63741,0.42855,1.14462,2.85954,0.00819,0.000571,0.000571,0.000571
28,37.8198,1.46073,2.30511,0.00643,0.71982,0.22181,0.66113,0.44298,1.19675,2.77295,0.0086,0.000575294,0.000575294,0.000575294
29,39.1059,1.37685,2.67882,0.00622,0.71982,0.22181,0.66113,0.44298,1.19675,2.77295,0.0086,0.00057835,0.00057835,0.00057835
30,40.3776,1.35848,2.39896,0.00863,0.7099,0.21164,0.65193,0.43425,1.19368,2.76743,0.00852,0.000580169,0.000580169,0.000580169
31,41.6674,1.41001,2.20457,0.00704,0.71264,0.28091,0.65233,0.42805,1.20424,2.70672,0.00865,0.00058075,0.00058075,0.00058075
32,42.9445,1.20927,2.18677,0.0074,0.68429,0.34694,0.66121,0.4396,1.23213,2.61027,0.00896,0.000580094,0.000580094,0.000580094
33,44.237,1.33553,2.07804,0.00732,0.68429,0.34694,0.66121,0.4396,1.23213,2.61027,0.00896,0.0005782,0.0005782,0.0005782
34,45.5155,1.28167,2.30241,0.00714,0.61027,0.3553,0.66807,0.43844,1.19648,2.57231,0.00873,0.000569375,0.000569375,0.000569375
35,46.8351,1.33823,2.02728,0.00628,0.65367,0.47267,0.65769,0.43272,1.18261,2.50506,0.00862,0.00054875,0.00054875,0.00054875
36,48.0848,1.32016,2.18797,0.00699,0.77306,0.50989,0.68576,0.44723,1.18189,2.44946,0.00852,0.000528125,0.000528125,0.000528125
37,49.3727,1.28086,2.04288,0.00716,0.77306,0.50989,0.68576,0.44723,1.18189,2.44946,0.00852,0.0005075,0.0005075,0.0005075
38,50.6493,1.41794,2.02602,0.00654,0.75461,0.5139,0.69158,0.45773,1.20983,2.3706,0.00874,0.000486875,0.000486875,0.000486875
39,51.8999,1.19249,2.09488,0.00712,0.68956,0.5412,0.66727,0.44611,1.20304,2.30982,0.00867,0.00046625,0.00046625,0.00046625
40,53.1816,1.43068,2.09471,0.00697,0.69622,0.56786,0.67347,0.4497,1.1998,2.2722,0.00863,0.000445625,0.000445625,0.000445625
41,54.4824,1.48108,2.10883,0.00554,0.69622,0.56786,0.67347,0.4497,1.1998,2.2722,0.00863,0.000425,0.000425,0.000425
42,55.7651,1.25316,2.11113,0.00757,0.65349,0.56581,0.67518,0.44994,1.23028,2.23598,0.00887,0.000404375,0.000404375,0.000404375
43,57.0635,1.31284,1.93055,0.00633,0.66466,0.64104,0.66392,0.43894,1.25245,2.2473,0.00908,0.00038375,0.00038375,0.00038375
44,58.3532,1.36044,1.95782,0.00569,0.62199,0.64522,0.66506,0.43047,1.28147,2.25349,0.00933,0.000363125,0.000363125,0.000363125
45,59.6424,1.28468,1.9726,0.00692,0.62199,0.64522,0.66506,0.43047,1.28147,2.25349,0.00933,0.0003425,0.0003425,0.0003425
46,60.9355,1.39574,1.89074,0.00552,0.64193,0.61101,0.67536,0.43768,1.31958,2.22815,0.00964,0.000321875,0.000321875,0.000321875
47,62.21,1.33451,2.05281,0.0071,0.66483,0.59305,0.67323,0.43683,1.31503,2.2207,0.00964,0.00030125,0.00030125,0.00030125
48,63.537,1.46716,1.96441,0.00622,0.65179,0.5738,0.6934,0.4518,1.31721,2.18114,0.00963,0.000280625,0.000280625,0.000280625
49,64.819,1.33791,2.15257,0.00687,0.65179,0.5738,0.6934,0.4518,1.31721,2.18114,0.00963,0.00026,0.00026,0.00026
50,66.1059,1.31265,2.01707,0.00679,0.64922,0.5695,0.69337,0.45584,1.30184,2.14028,0.00948,0.000239375,0.000239375,0.000239375
51,68.1249,1.44179,2.39227,0.00702,0.666,0.61413,0.70538,0.47002,1.29205,2.1025,0.0094,0.00021875,0.00021875,0.00021875
52,69.4261,1.32338,2.08471,0.00718,0.64944,0.64756,0.70123,0.46559,1.28608,2.07346,0.00935,0.000198125,0.000198125,0.000198125
53,70.7045,1.25674,2.24031,0.00762,0.64944,0.64756,0.70123,0.46559,1.28608,2.07346,0.00935,0.0001775,0.0001775,0.0001775
54,71.9865,1.28088,2.02319,0.00712,0.66533,0.68146,0.70583,0.46507,1.28583,2.05134,0.00936,0.000156875,0.000156875,0.000156875
55,73.2573,1.24011,2.07246,0.00755,0.67853,0.68473,0.71423,0.46997,1.29137,2.03972,0.00938,0.00013625,0.00013625,0.00013625
56,74.5325,1.26441,2.09495,0.00747,0.71643,0.67976,0.70227,0.46057,1.30302,2.01661,0.00947,0.000115625,0.000115625,0.000115625
57,75.7862,1.14554,2.13917,0.00691,0.71643,0.67976,0.70227,0.46057,1.30302,2.01661,0.00947,9.5e-05,9.5e-05,9.5e-05
58,77.0572,1.31635,1.939,0.00812,0.71924,0.66242,0.71012,0.45851,1.30454,2.0028,0.00947,7.4375e-05,7.4375e-05,7.4375e-05
59,78.319,1.21294,2.05695,0.007,0.71328,0.65127,0.70782,0.45556,1.30484,1.99251,0.00947,5.375e-05,5.375e-05,5.375e-05
60,79.5961,1.28836,1.95213,0.00759,0.71068,0.6468,0.70397,0.45074,1.28207,2.004,0.00928,3.3125e-05,3.3125e-05,3.3125e-05
