epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5288,1.63797,8.48372,0.00915,0.00139,0.41667,0.16731,0.0598,1.19619,10.4049,0.00494,0.00012,0.00012,0.00012
2,12.7003,1.341,6.74916,0.00544,0.00139,0.41667,0.16173,0.12258,1.20132,10.5204,0.00549,0.00025571,0.00025571,0.00025571
3,13.8136,1.26616,6.24552,0.00638,0.00139,0.41667,0.16504,0.12263,1.19223,10.4602,0.00538,0.0003868,0.0003868,0.0003868
4,14.8417,1.30564,5.74763,0.00564,0.00139,0.41667,0.26071,0.1976,1.03392,10.0414,0.00508,0.00051327,0.00051327,0.00051327
5,15.9531,1.32465,5.50459,0.00686,0.00139,0.41667,0.26419,0.20134,1.00354,9.80535,0.00578,0.00063512,0.00063512,0.00063512
6,16.9968,1.2241,5.46756,0.00531,0.00139,0.41667,0.26271,0.20134,1.04047,9.78454,0.00563,0.00075235,0.00075235,0.00075235
7,18.081,1.27844,5.43386,0.00679,0.00139,0.41667,0.2568,0.17841,1.24162,9.71655,0.0066,0.00086496,0.00086496,0.00086496
8,19.087,1.38591,4.53498,0.00651,0.00167,0.5,0.22188,0.17115,1.28261,9.42799,0.00608,0.00097295,0.00097295,0.00097295
9,20.1082,1.40248,4.47763,0.00663,0.45872,0.25,0.41378,0.25653,1.31529,8.89095,0.00805,0.00107632,0.00107632,0.00107632
10,21.1152,1.42459,4.5157,0.00663,0.45504,0.5,0.59684,0.37934,1.36124,8.71126,0.00746,0.00117507,0.00117507,0.00117507
11,22.152,1.38008,4.57696,0.0063,0.39999,0.83331,0.65338,0.4223,1.44067,8.52222,0.00783,0.0012692,0.0012692,0.0012692
12,23.1897,1.3452,3.79407,0.00714,0.56896,0.33333,0.63366,0.43759,1.22877,7.52724,0.00565,0.00135871,0.00135871,0.00135871
13,24.2016,1.40134,3.66009,0.0073,0.50965,0.34781,0.6548,0.42832,1.36036,7.36404,0.00679,0.0014436,0.0014436,0.0014436
14,25.2254,1.25829,3.6523,0.0065,0.67811,0.5,0.75705,0.4805,1.44822,6.74006,0.00811,0.00152387,0.00152387,0.00152387
15,26.2425,1.41476,3.31888,0.00663,1,0.64809,0.93571,0.62104,1.31851,6.0687,0.00783,0.001538,0.001538,0.001538
16,27.2955,1.3485,3.16967,0.00693,1,0.83212,0.995,0.66791,1.22427,5.51908,0.00639,0.001505,0.001505,0.001505
